Order ID,Order Status,Order Date,Order Range,Shipped Quantity,Unshipped Quantity,Club,Combined Order Status
567309,Shipped,1/2/2024,Older Than 5 Weeks,3,0,Rush National Soccer, Shipped 
567586,Shipped,1/5/2024,Older Than 5 Weeks,1,0,Rush Coaches, Shipped 
567631,Shipped,1/6/2024,Older Than 5 Weeks,2,0,Rush Coaches, Shipped 
567812,Shipped,1/8/2024,Older Than 5 Weeks,1,0,Rush Psd, Shipped 
567965,Shipped,1/9/2024,Older Than 5 Weeks,5,0,Rush Vsa, Shipped 
568147,Shipped,1/11/2024,Older Than 5 Weeks,1,0,Rush Virginia, Shipped 
568174,Shipped,1/11/2024,Older Than 5 Weeks,4,0,Rush National Soccer, Shipped 
568324,Shipped,1/13/2024,Older Than 5 Weeks,2,0,Rush National Soccer, Shipped 
568623,Shipped,1/17/2024,Older Than 5 Weeks,1,0,Rush Coaches, Shipped 
568668,Shipped,1/17/2024,Older Than 5 Weeks,1,0,Rush National Soccer, Shipped 
568972,Shipped,1/21/2024,Older Than 5 Weeks,1,0,Rush Ny Albany, Shipped 
569143,Shipped,1/22/2024,Older Than 5 Weeks,3,0,Rush National Soccer, Shipped 
569503,Shipped,1/26/2024,Older Than 5 Weeks,1,0,Rush National Soccer, Shipped 
569671,Shipped,1/28/2024,Older Than 5 Weeks,2,0,Rush Wisconsin, Shipped 
569699,Shipped,1/28/2024,Older Than 5 Weeks,13,0,Rush Coaches, Shipped 
569857,Shipped,1/29/2024,Older Than 5 Weeks,4,0,Rush Coastal Perdido, Shipped 
570054,Shipped,1/30/2024,Older Than 5 Weeks,4,0,Rush National Soccer, Shipped 
570108,Shipped,1/30/2024,Older Than 5 Weeks,2,0,Rush New England, Shipped 
570314,Shipped,1/31/2024,Older Than 5 Weeks,2,0,Rush National Soccer, Shipped 
570317,Shipped,1/31/2024,Older Than 5 Weeks,2,0,Rush National Soccer, Shipped 
570364,Shipped,1/31/2024,Older Than 5 Weeks,1,0,Rush National Soccer, Shipped 
570507,Shipped,2/1/2024,Older Than 5 Weeks,10,0,Rush Bluffton, Shipped 
570525,Shipped,2/1/2024,Older Than 5 Weeks,2,0,Rush Vsa, Shipped 
570580,Shipped,2/2/2024,Older Than 5 Weeks,2,0,Rush Coaches, Shipped 
570614,Shipped,2/2/2024,Older Than 5 Weeks,20,0,Rush Vsa, Shipped 
570615,Shipped,2/2/2024,Older Than 5 Weeks,5,0,Rush Vsa, Shipped 
570787,Shipped,2/4/2024,Older Than 5 Weeks,1,0,Rush National Soccer, Shipped 
570797,Shipped,2/4/2024,Older Than 5 Weeks,2,0,Rush Ny Select, Shipped 
570873,Shipped,2/4/2024,Older Than 5 Weeks,3,0,Rush Washington, Shipped 
570878,Shipped,2/4/2024,Older Than 5 Weeks,3,0,Rush National Soccer, Shipped 
570989,Shipped,2/5/2024,Older Than 5 Weeks,2,0,Rush Vsa, Shipped 
571050,Shipped,2/6/2024,Older Than 5 Weeks,9,0,Rush Coaches, Shipped 
571167,Shipped,2/7/2024,Older Than 5 Weeks,2,0,Rush Virginia, Shipped 
571251,Shipped,2/8/2024,Older Than 5 Weeks,1,0,Rush National Soccer, Shipped 
571294,Shipped,2/8/2024,Older Than 5 Weeks,4,0,Rush Iowa, Shipped 
571408,Shipped,2/9/2024,Older Than 5 Weeks,1,0,Rush Coaches, Shipped 
571433,Shipped,2/9/2024,Older Than 5 Weeks,1,0,Rush National Soccer, Shipped 
571452,Shipped,2/9/2024,Older Than 5 Weeks,1,0,Rush National Soccer, Shipped 
571492,Shipped,2/10/2024,Older Than 5 Weeks,1,0,Rush Coaches, Shipped 
571509,Shipped,2/10/2024,Older Than 5 Weeks,3,0,Rush National Soccer, Shipped 
571547,Shipped,2/10/2024,Older Than 5 Weeks,1,0,Rush Hawaii, Shipped 
571706,Shipped,2/12/2024,Older Than 5 Weeks,2,0,Rush Mississippi, Shipped 
571770,Shipped,2/12/2024,Older Than 5 Weeks,2,0,Rush National Soccer, Shipped 
571934,Shipped,2/13/2024,Older Than 5 Weeks,1,0,Rush Idaho, Shipped 
571951,Shipped,2/13/2024,Older Than 5 Weeks,3,0,Rush National Soccer, Shipped 
572021,Shipped,2/14/2024,Older Than 5 Weeks,1,0,Rush Phoenix, Shipped 
572023,Shipped,2/14/2024,Older Than 5 Weeks,1,0,Rush Colorado, Shipped 
572025,Shipped,2/14/2024,Older Than 5 Weeks,3,0,Rush Florida, Shipped 
572378,Shipped,2/17/2024,Older Than 5 Weeks,2,0,Rush Coaches, Shipped 
572435,Shipped,2/17/2024,Older Than 5 Weeks,1,0,Rush Kansas Wichita, Shipped 
572642,Shipped,2/19/2024,Older Than 5 Weeks,3,0,Rush Twin Cities, Shipped 
572756,Shipped,2/20/2024,Older Than 5 Weeks,2,0,Rush Pennsylvania, Shipped 
572900,Shipped,2/21/2024,Older Than 5 Weeks,2,0,Rush Coaches, Shipped 
572922,Shipped,2/21/2024,Older Than 5 Weeks,1,0,Rush National Soccer, Shipped 
573021,Shipped,2/22/2024,Older Than 5 Weeks,1,0,Rush National Soccer, Shipped 
573500,Shipped,2/26/2024,Older Than 5 Weeks,1,0,Rush National Soccer, Shipped 
573626,Shipped,2/26/2024,Older Than 5 Weeks,2,0,Rush National Soccer, Shipped 
574196,Shipped,2/29/2024,Older Than 5 Weeks,2,0,Rush National Soccer, Shipped 
574272,Shipped,3/1/2024,Older Than 5 Weeks,11,0,Rush Vsa, Shipped 
574284,Shipped,3/1/2024,Older Than 5 Weeks,3,0,Rush Vsa, Shipped 
574302,Shipped,3/1/2024,Older Than 5 Weeks,3,0,Rush Vsa, Shipped 
574360,Shipped,3/2/2024,Older Than 5 Weeks,8,0,Rush Coaches, Shipped 
