order_id,Club Name,First Order Date,Latest Ship Date,Total Products Ordered
468931,Rush Ny Syracuse,2023-01-01,2023-01-10,2
468940,Rush Lfa,2023-01-01,2023-02-09,8
468965,Rush Flatirons,2023-01-01,2023-01-12,4
468966,Rush Atletico Nv,2023-01-01,2023-02-14,4
468971,Rush United Fc,2023-01-01,2023-01-12,6
468977,Rush Kentucky Hardin,2023-01-01,2023-01-31,1
468981,Rush Idaho,2023-01-01,2023-01-10,1
468983,Rush Ct West Stateline,2023-01-01,2023-01-16,14
468992,Rush Kansas Wichita,2023-01-01,2023-02-07,2
468999,Rush Twin Cities,2023-01-01,2023-01-16,1
469002,Rush Ny Syracuse,2023-01-01,2023-01-24,4
469009,Rush New Jersey Santos,2023-01-01,2023-02-07,9
469025,Rush Missouri,2023-01-02,2023-02-03,6
469050,Rush Cedar Stars Houston,2023-01-02,2023-01-10,2
469051,Rush Iowa South,2023-01-02,2023-01-10,6
469066,Rush Pensacola Fc,2023-01-02,2023-01-10,2
469070,Rush Florida,2023-01-02,2023-02-13,5
469080,Rush Kansas Wichita,2023-01-02,2023-02-20,5
469111,Rush Tennessee Lobos,2023-01-02,2023-02-09,5
469118,Rush Florida,2023-01-02,2023-01-16,12
469122,Rush Kentucky Hardin,2023-01-02,2023-01-10,7
469131,Rush Colorado,2023-01-02,2023-01-10,1
469142,Rush United Fc,2023-01-02,2023-01-16,1
469143,Rush Pikes Peak,2023-01-02,2023-01-10,6
469144,Rush Massachusetts North,2023-01-02,2023-01-10,2
469148,Rush Ny Syracuse,2023-01-02,2023-01-24,2
469154,Rush Ct West Stateline,2023-01-02,2023-01-11,3
469190,Rush Ny Syracuse,2023-01-03,2023-01-26,2
469196,Rush United Fc,2023-01-03,2023-02-07,6
469226,Rush New Jersey Santos,2023-01-03,2023-01-09,2
469230,Rush Missouri,2023-01-03,2023-01-24,2
469240,Rush New Mexico,2023-01-03,2023-02-07,10
469244,Rush Hawaii,2023-01-03,2023-01-09,3
469271,Rush Pensacola Fc,2023-01-03,2023-01-20,2
469294,Rush Pensacola Fc,2023-01-03,2023-02-06,5
469324,Rush Coastal Bayside,2023-01-03,2023-01-09,3
469326,Rush North Carolina,2023-01-03,2023-01-11,7
469329,Rush Alabama,2023-01-03,2023-01-10,4
469337,Rush Vsa,2023-01-03,2023-01-09,3
469351,Rush Tennessee Lobos,2023-01-03,2023-01-10,4
469354,Rush Pensacola Fc,2023-01-03,2023-02-10,2
469355,Rush Atletico Nv,2023-01-03,2023-01-10,4
469395,Rush Chicago North,2023-01-04,2023-01-09,9
469414,Rush Tennessee Lobos,2023-01-04,2023-02-13,9
469430,Rush Pensacola Fc,2023-01-04,2023-02-09,2
469431,Rush Florida,2023-01-04,2023-01-21,5
469435,Rush Pensacola Fc,2023-01-04,2023-01-23,7
469444,Rush United Fc,2023-01-04,2023-01-11,6
469458,Rush Missouri,2023-01-04,2023-02-03,9
469469,Rush Pensacola Fc,2023-01-04,2023-01-10,3
469472,Rush Ny Rochester,2023-01-04,2023-01-10,6
