order_id,Club Name,First Order Date,Latest Ship Date,Total Products Ordered,Time to ship,,
468931,Rush Ny Syracuse,2023-01-01,2023-01-10,2,9,,
468940,Rush Lfa,2023-01-01,2023-02-09,8,39,,
468965,Rush Flatirons,2023-01-01,2023-01-12,4,11,,
468966,Rush Atletico Nv,2023-01-01,2023-02-14,4,44,,
468971,Rush United Fc,2023-01-01,2023-01-12,6,11,,
468977,Rush Kentucky Hardin,2023-01-01,2023-01-31,1,30,,
468981,Rush Idaho,2023-01-01,2023-01-10,1,9,,
468983,Rush Ct West Stateline,2023-01-01,2023-01-16,14,15,,
468992,Rush Kansas Wichita,2023-01-01,2023-02-07,2,37,,
468999,Rush Twin Cities,2023-01-01,2023-01-16,1,15,,
469002,Rush Ny Syracuse,2023-01-01,2023-01-24,4,23,,
469009,Rush New Jersey Santos,2023-01-01,2023-02-07,9,37,,
469025,Rush Missouri,2023-01-02,2023-02-03,6,32,,
469050,Rush Cedar Stars Houston,2023-01-02,2023-01-10,2,8,,
469051,Rush Iowa South,2023-01-02,2023-01-10,6,8,,
469066,Rush Pensacola Fc,2023-01-02,2023-01-10,2,8,,
469070,Rush Florida,2023-01-02,2023-02-13,5,42,,
469080,Rush Kansas Wichita,2023-01-02,2023-02-20,5,49,,
469111,Rush Tennessee Lobos,2023-01-02,2023-02-09,5,38,,
469118,Rush Florida,2023-01-02,2023-01-16,12,14,,
469122,Rush Kentucky Hardin,2023-01-02,2023-01-10,7,8,,
469131,Rush Colorado,2023-01-02,2023-01-10,1,8,,
469142,Rush United Fc,2023-01-02,2023-01-16,1,14,,
469143,Rush Pikes Peak,2023-01-02,2023-01-10,6,8,,
469144,Rush Massachusetts North,2023-01-02,2023-01-10,2,8,,
469148,Rush Ny Syracuse,2023-01-02,2023-01-24,2,22,,
469154,Rush Ct West Stateline,2023-01-02,2023-01-11,3,9,,
469190,Rush Ny Syracuse,2023-01-03,2023-01-26,2,23,,
469196,Rush United Fc,2023-01-03,2023-02-07,6,35,,
469226,Rush New Jersey Santos,2023-01-03,2023-01-09,2,6,,
469230,Rush Missouri,2023-01-03,2023-01-24,2,21,,
469240,Rush New Mexico,2023-01-03,2023-02-07,10,35,,
469244,Rush Hawaii,2023-01-03,2023-01-09,3,6,,
469271,Rush Pensacola Fc,2023-01-03,2023-01-20,2,17,,
469294,Rush Pensacola Fc,2023-01-03,2023-02-06,5,34,,
469324,Rush Coastal Bayside,2023-01-03,2023-01-09,3,6,,
469326,Rush North Carolina,2023-01-03,2023-01-11,7,8,,
469329,Rush Alabama,2023-01-03,2023-01-10,4,7,,
469337,Rush Vsa,2023-01-03,2023-01-09,3,6,,
469351,Rush Tennessee Lobos,2023-01-03,2023-01-10,4,7,,
469354,Rush Pensacola Fc,2023-01-03,2023-02-10,2,38,,
469355,Rush Atletico Nv,2023-01-03,2023-01-10,4,7,,
469395,Rush Chicago North,2023-01-04,2023-01-09,9,5,,
469414,Rush Tennessee Lobos,2023-01-04,2023-02-13,9,40,,
469430,Rush Pensacola Fc,2023-01-04,2023-02-09,2,36,,
469431,Rush Florida,2023-01-04,2023-01-21,5,17,,
469435,Rush Pensacola Fc,2023-01-04,2023-01-23,7,19,,
469444,Rush United Fc,2023-01-04,2023-01-11,6,7,,
469458,Rush Missouri,2023-01-04,2023-02-03,9,30,,
469469,Rush Pensacola Fc,2023-01-04,2023-01-10,3,6,,
469472,Rush Ny Rochester,2023-01-04,2023-01-10,6,6,,
469481,Rush National Soccer,2023-01-04,2023-01-12,1,8,,
469487,Rush Hawaii,2023-01-04,2023-01-17,1,13,,
469491,Rush Kentucky Hardin,2023-01-04,2023-01-17,6,13,,
469493,Rush Coaches,2023-01-04,2023-02-09,2,36,,
469495,Rush Atletico Nv,2023-01-04,2023-01-09,2,5,,
469499,Rush Minnesota,2023-01-04,2023-01-10,2,6,,
469514,Rush Hawaii,2023-01-04,2023-01-09,4,5,,
469532,Rush United Fc,2023-01-04,2023-02-03,14,30,,
469547,Rush Maryland Montgomery,2023-01-04,2023-01-12,9,8,,
469569,Rush Pensacola Fc,2023-01-04,2023-01-12,5,8,,
469580,Rush Ct East Shoreline,2023-01-04,2023-01-12,9,8,,
469586,Rush New Mexico,2023-01-04,2023-01-11,3,7,,
469596,Rush Iowa,2023-01-04,2023-01-18,1,14,,
469597,Rush Michigan Lansing,2023-01-04,2023-01-12,6,8,,
469609,Rush Tennessee Lobos,2023-01-04,2023-01-12,4,8,,
469622,Rush San Jose,2023-01-04,2023-01-12,5,8,,
469625,Rush Virginia,2023-01-04,2023-01-12,3,8,,
469629,Rush New Jersey,2023-01-04,2023-01-18,2,14,,
469632,Rush California,2023-01-04,2023-02-13,5,40,,
469633,Rush Pensacola Fc,2023-01-04,2023-01-23,2,19,,
469634,Rush Union Georgia,2023-01-04,2023-01-16,3,12,,
469635,Rush Florida,2023-01-04,2023-01-12,9,8,,
469639,Rush Ny Syracuse,2023-01-05,2023-01-18,7,13,,
469640,Rush Pensacola Fc,2023-01-05,2023-01-23,6,18,,
469641,Rush Coastal Perdido,2023-01-05,2023-01-26,1,21,,
469649,Rush Twin Cities,2023-01-05,2023-01-16,3,11,,
469650,Rush Idaho,2023-01-05,2023-01-12,6,7,,
469653,Rush Bellevue,2023-01-05,2023-01-12,3,7,,
469658,Rush Ct East Shoreline,2023-01-05,2023-02-20,18,46,,
469668,Rush North Carolina,2023-01-05,2023-01-12,9,7,,
469669,Rush Coastal Perdido,2023-01-05,2023-01-10,1,5,,
469676,Rush Ny Rochester,2023-01-05,2023-01-18,3,13,,
469683,Rush Gateway,2023-01-05,2023-01-17,4,12,,
469685,Rush Idaho,2023-01-05,2023-01-16,6,11,,
469687,Rush Ct East Shoreline,2023-01-05,2023-01-17,13,12,,
469699,Rush Union Georgia,2023-01-05,2023-01-12,2,7,,
469700,Rush Pensacola Fc,2023-01-05,2023-01-25,7,20,,
469734,Rush Michigan Northville,2023-01-05,2023-01-16,2,11,,
469735,Rush Union Georgia,2023-01-05,2023-01-16,7,11,,
469744,Rush Coastal Perdido,2023-01-05,2023-01-18,4,13,,
469749,Rush Idaho,2023-01-05,2023-01-12,6,7,,
