Customer Reference,Club Name,Date Created,Order Quantity,Shipped Quantity,Unshipped Quantity,Shipping Date,Sales Order Header Status
567309,Rush Missouri,2024-01-03,1,1,-,2024-01-08,SHIPPED
567309,Rush National Soccer,2024-01-03,2,11,--,2024-01-08,SHIPPED
567586,Rush Coaches,2024-01-06,1,1,-,2024-01-17,SHIPPED
567631,Rush Minnesota,2024-01-06,2,2,-,2024-01-17,SHIPPED
567812,Rush Idaho,2024-01-09,1,1,-,2024-01-22,SHIPPED
567965,Rush Missouri,2024-01-10,3,3,-,2024-02-13,SHIPPED
567965,Rush Vsa,2024-01-10,2,2,-,2024-02-13,SHIPPED
568147,Rush Superior,2024-01-12,1,1,-,2024-01-30,SHIPPED
568174,Rush Delmarva,2024-01-14,1,1,-,2024-01-23,SHIPPED
568174,Rush National Soccer,2024-01-14,3,111,---,2024-01-23,SHIPPED
568324,Rush Coastal Perdido,2024-01-15,1,1,-,2024-01-24,SHIPPED
568324,Rush National Soccer,2024-01-15,1,1,-,2024-01-24,SHIPPED
568623,Rush National Soccer,2024-01-17,1,1,-,2024-01-29,SHIPPED
568668,Rush Canada,2024-01-17,1,1,-,2024-01-22,SHIPPED
568972,Rush Canada,2024-01-22,1,1,-,2024-02-13,SHIPPED
569143,Rush National Soccer,2024-01-23,2,11,--,2024-02-02,SHIPPED
569143,Rush Star Cincinnati,2024-01-23,1,1,-,2024-02-02,SHIPPED
569503,Rush Twin Cities,2024-01-29,1,1,-,2024-02-05,SHIPPED
569671,Rush Coaches,2024-01-29,1,1,-,2024-02-12,SHIPPED
569671,Rush Wisconsin,2024-01-29,1,1,-,2024-02-12,SHIPPED
569699,Rush Coaches,2024-01-29,12,2451,----,2024-02-19,SHIPPED
569699,Rush Ny Rochester,2024-01-29,1,1,-,2024-02-19,SHIPPED
569857,Rush Coastal Perdido,2024-01-30,3,111,---,2024-02-12,SHIPPED
569857,Rush Tennessee Lobos,2024-01-30,1,1,-,2024-02-12,SHIPPED
570054,Rush National Soccer,2024-01-31,3,111,---,2024-02-13,SHIPPED
570054,Rush New England,2024-01-31,1,1,-,2024-02-13,SHIPPED
570108,Rush Canada,2024-01-31,1,1,-,2024-02-12,SHIPPED
570108,Rush New England,2024-01-31,1,1,-,2024-02-12,SHIPPED
570314,Rush Mississippi,2024-02-01,1,1,-,2024-02-19,SHIPPED
570314,Rush National Soccer,2024-02-01,1,1,-,2024-02-19,SHIPPED
570317,Rush National Soccer,2024-02-01,2,11,--,2024-02-13,SHIPPED
570364,Rush Ny Albany,2024-02-01,1,1,-,2024-02-13,SHIPPED
570507,Rush Vsa,2024-02-02,10,10,-,2024-02-15,SHIPPED
570525,Rush Coaches,2024-02-02,2,2,-,2024-02-14,SHIPPED
570580,Rush Coaches,2024-02-04,1,1,-,2024-02-21,SHIPPED
570580,Rush Vsa,2024-02-04,1,1,-,2024-02-21,SHIPPED
570614,Rush Vsa,2024-02-05,20,686,---,2024-02-14,SHIPPED
570615,Rush Ny Select,2024-02-05,1,1,-,2024-02-15,SHIPPED
570615,Rush Vsa,2024-02-05,4,1111,----,2024-02-15,SHIPPED
570787,Rush Ny Select,2024-02-05,1,1,-,2024-02-13,SHIPPED
570797,Rush Ny Select,2024-02-05,1,1,-,2024-02-13,SHIPPED
570797,Rush Washington,2024-02-05,1,1,-,2024-02-13,SHIPPED
570873,Rush National Soccer,2024-02-05,3,3,-,2024-02-14,SHIPPED
570878,Rush Canada,2024-02-05,1,1,-,2024-02-13,SHIPPED
570878,Rush National Soccer,2024-02-05,2,11,--,2024-02-13,SHIPPED
570989,Rush Delmarva,2024-02-06,1,1,-,2024-02-15,SHIPPED
570989,Rush Vsa,2024-02-06,1,1,-,2024-02-15,SHIPPED
571050,Rush Washington,2024-02-07,9,9,-,2024-02-15,SHIPPED
571167,Rush National Soccer,2024-02-13,1,1,-,2024-02-27,SHIPPED
571167,Rush Virginia,2024-02-13,1,1,-,2024-02-27,SHIPPED
571251,Rush Iowa,2024-02-09,1,1,-,2024-02-20,SHIPPED
571294,Rush Coaches,2024-02-09,1,1,-,2024-02-22,SHIPPED
571294,Rush Iowa,2024-02-09,3,111,---,2024-02-22,SHIPPED
571408,Rush National Soccer,2024-02-12,1,1,-,2024-02-27,SHIPPED
571433,Rush Lvu,2024-02-12,1,1,-,2024-02-20,SHIPPED
571452,Rush Delmarva,2024-02-13,1,1,-,2024-02-22,SHIPPED
571492,Rush National Soccer,2024-02-12,1,1,-,2024-02-21,SHIPPED
571509,Rush Hawaii,2024-02-12,1,1,-,2024-02-21,SHIPPED
571509,Rush National Soccer,2024-02-12,2,11,--,2024-02-21,SHIPPED
571547,Rush Florida,2024-02-12,1,1,-,2024-02-19,SHIPPED
571706,Rush National Soccer,2024-02-13,2,2,-,2024-02-19,SHIPPED
571770,Rush National Soccer,2024-02-13,1,1,-,2024-02-23,SHIPPED
571770,Rush Virginia,2024-02-13,1,1,-,2024-02-23,SHIPPED
571934,Rush Florida,2024-02-14,1,1,-,2024-02-22,SHIPPED
571951,Rush Minnesota,2024-02-16,1,1,-,2024-02-27,SHIPPED
571951,Rush National Soccer,2024-02-16,2,11,--,2024-02-27,SHIPPED
572021,Rush Colorado,2024-02-15,1,1,-,2024-02-26,SHIPPED
572023,Rush Florida,2024-02-15,1,1,-,2024-02-26,SHIPPED
572025,Rush Canada,2024-02-15,1,1,-,2024-02-26,SHIPPED
572025,Rush Florida,2024-02-15,2,11,--,2024-02-26,SHIPPED
572378,Rush Coaches,2024-02-19,1,1,-,2024-02-23,SHIPPED
572378,Rush Kansas Wichita,2024-02-19,1,1,-,2024-02-23,SHIPPED
572435,Rush Canada,2024-02-19,1,1,-,2024-02-22,SHIPPED
572642,Rush Twin Cities,2024-02-20,3,111,---,2024-02-27,SHIPPED
572756,Rush Pennsylvania,2024-02-21,1,1,-,2024-03-14,SHIPPED
572756,Rush Victory,2024-02-21,1,1,-,2024-03-14,SHIPPED
572900,Rush Coaches,2024-02-22,1,1,-,2024-02-27,SHIPPED
572900,Rush National Soccer,2024-02-22,1,1,-,2024-02-27,SHIPPED
572922,Rush Missouri,2024-02-22,1,1,-,2024-02-28,SHIPPED
