Customer Reference,Club Name,Date Created,Order Quantity,Shipped Quantity,Unshipped Quantity,Shipping Date,Sales Order Header Status
587981,Rush National Soccer,2025-01-02,1.0,1.0,0.0,2025-01-27,SHIPPED
587989,Rush Missouri,2025-01-06,4.0,4.0,0.0,2025-01-31,SHIPPED
587991,Rush National Soccer,2025-01-06,3.0,3.0,0.0,2025-01-15,SHIPPED
587994,Rush National Soccer,2025-01-06,1.0,1.0,0.0,2025-01-14,SHIPPED
587997,Rush National Soccer,2025-01-08,3.0,3.0,0.0,2025-01-20,SHIPPED
588001,Rush National Soccer,2025-01-09,1.0,1.0,0.0,2025-01-21,SHIPPED
588003,Rush Vsa,2025-01-10,5.0,5.0,0.0,2025-01-16,SHIPPED
588004,Rush Pennsylvania,2025-01-10,1.0,1.0,0.0,2025-01-20,SHIPPED
588006,Rush Pennsylvania,2025-01-11,4.0,4.0,0.0,2025-01-20,SHIPPED
588019,Rush National Soccer,2025-01-17,2.0,2.0,0.0,2025-01-24,SHIPPED
588021,Rush San Jose,2025-01-19,1.0,1.0,0.0,2025-01-23,SHIPPED
588027,Rush Coaches,2025-01-20,1.0,1.0,0.0,2025-03-10,SHIPPED
588028,Rush San Jose,2025-01-22,4.0,4.0,0.0,2025-01-30,SHIPPED
588029,Rush National Soccer,2025-01-24,2.0,2.0,0.0,2025-02-28,SHIPPED
588030,Rush National Soccer,2025-01-22,1.0,1.0,0.0,2025-01-27,SHIPPED
588042,Rush San Jose,2025-01-31,6.0,6.0,0.0,2025-02-25,SHIPPED
588061,Rush Michigan Dearborn Heights,2025-01-30,1.0,1.0,0.0,2025-02-04,SHIPPED
588062,Rush National Soccer,2025-02-03,1.0,1.0,0.0,2025-02-07,SHIPPED
588078,Rush National Soccer,2025-02-03,2.0,2.0,0.0,2025-02-10,SHIPPED
588081,Rush Coaches,2025-02-04,4.0,4.0,0.0,2025-03-04,SHIPPED
588088,Rush National Soccer,2025-02-06,1.0,1.0,0.0,2025-02-20,SHIPPED
588094,Rush National Soccer,2025-02-08,4.0,4.0,0.0,2025-02-19,SHIPPED
